Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
347,Cape Canaveral,Astra 1P,"5,000 kg",GTO,SES,"Success
",F9B5,Success (,"June 20, 2024",21:35
348,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 23, 2024",17:15
349,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 24, 2024",03:47
350,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"June 27, 2024",11:14
351,Vandenberg,Starshield,U,SSO,NRO,"Success
",F9B5,Success (,"June 29, 2024",03:14
352,Cape Canaveral,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"July 3, 2024",08:55
353,Cape Canaveral,Türksat 6A,"4,250 kg",GTO,Türksat,"Success
",F9B5,Success (,"July 8, 2024",23:30
354,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,"Failure
",F9B5,Success (,"July 12, 2024",02:35
355,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"July 27, 2024",05:45
356,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"July 28, 2024",05:09
357,Vandenberg,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"July 28, 2024",09:22
358,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"August 2, 2024",05:01
359,Vandenberg,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"August 4, 2024",07:24
360,Cape Canaveral,"CRS NG-21 (S.S. Francis R. ""Dick"" Scobee)","3,857 kg",LEO,Northrop Grumman,"Success
",F9B5,Success (,"August 4, 2024",15:02
361,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,"Success
",F9B5,Success (,"August 10, 2024",12:50
362,Vandenberg,,"~7,230 kg",Molniya,Space Norway,"Success
",F9B5,Success (,"August 12, 2024",02:02
363,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"August 12, 2024",10:37
364,Cape Canaveral,WorldView Legion,"1,500 kg",LEO,Maxar Technologies,"Success
",F9B5,Success (,"August 15, 2024",13:00
365,Vandenberg,Transporter-11,U,SSO,,"Success
",F9B5,Success (,"August 16, 2024",18:56
366,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,"Success
",F9B5,Success (,"August 20, 2024",13:20
367,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,"Success
",F9B5,Failure (,"August 28, 2024",07:48
368,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,"Success
",F9B5,Success (,"August 31, 2024",07:43
369,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,"Success
",F9B5,Success (,"August 31, 2024",08:48
370,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,"Success
",F9B5,Success (,"September 5, 2024",15:33
371,Vandenberg,Starshield,U,LEO,NRO,"Success
",F9B5,Success (,"September 6, 2024",03:20
372,Kennedy,Polaris Dawn,"~13,000 kg",LEO,Polaris Program,"Success
",F9B5,Success (,"September 10, 2024",09:23
373,Cape Canaveral,,"7,500 kg",LEO,AST SpaceMobile,"Success
",F9B5,Success (,"September 12, 2024",08:52
374,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,"Success
",F9B5,Success (,"September 13, 2024",01:45
375,Cape Canaveral,Galileo,"1,600 kg",MEO,ESA,"Success
",F9B5,Success (,"September 17, 2024",22:50
376,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"September 20, 2024",13:50
377,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"September 25, 2024",04:01
378,Cape Canaveral,Crew-9,"~13,000 kg",LEO,NASA,"Success
",F9B5,Success (,"September 28, 2024",17:17
379,Cape Canaveral,Hera,"1,108 kg",Heliocentric,ESA,"Success
",F9B5,"No attempt
","October 7, 2024",14:52
380,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"October 15, 2024",06:10
381,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"October 15, 2024",08:21
382,Cape Canaveral,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"October 18, 2024",23:31
383,Vandenberg,OneWeb #20,"2,954 kg",Polar,OneWeb,"Success
",F9B5,Success (,"October 20, 2024",05:13
384,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,"Success
",F9B5,Success (,"October 23, 2024",21:47
385,Vandenberg,NROL-167,U,LEO,NRO,"Success
",F9B5,Success (,"October 24, 2024",17:13
386,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,"Success
",F9B5,Success (,"October 26, 2024",21:47
387,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,"Success
",F9B5,Success (,"October 30, 2024",12:07
